# TYPE: validation-run
# Expected outputs for S068_tape.csv. z_slope empty during warm-up (days 0-58).
# inverted = 1 only when slope < -1.0 AND z-confirm (z < -1.0) AND cost gate pass.
# All numbers synthetic, recomputed from the tape with the chapter's normative pseudocode.
day,slope,z_slope,inverted
0,1.4293312975,,0
1,1.4982403891,,0
2,1.3484134690,,0
3,1.3803813887,,0
4,1.4049848867,,0
5,1.1817796475,,0
6,1.3831561864,,0
7,1.3410363333,,0
8,1.4374477453,,0
9,1.3259373861,,0
10,1.4055358433,,0
11,1.3109385948,,0
12,1.3569967283,,0
13,1.2854226546,,0
14,1.3555975880,,0
15,1.4052805809,,0
16,1.3096488968,,0
17,1.3509428102,,0
18,1.1594638850,,0
19,1.2552571280,,0
20,1.1384531210,,0
21,1.3554097974,,0
22,1.3351002729,,0
23,1.3537560392,,0
24,1.4784218648,,0
25,1.2606176777,,0
26,1.2912025687,,0
27,1.2393734169,,0
28,1.1981103579,,0
29,1.2137144661,,0
30,1.1428893330,,0
31,1.0456641322,,0
32,1.4998835739,,0
33,1.1456548946,,0
34,1.5981649122,,0
35,1.5875278331,,0
36,1.5946456466,,0
37,1.4193693035,,0
38,1.2349731079,,0
39,1.5028900977,,0
40,1.2652941041,,0
41,1.5547802330,,0
42,1.5712255726,,0
43,1.3418287345,,0
44,1.1285349706,,0
45,1.2197535754,,0
46,1.1109224857,,0
47,1.4197032992,,0
48,1.2491244462,,0
49,1.3981343370,,0
50,1.3889995822,,0
51,1.2953177466,,0
52,1.6138822831,,0
53,1.1527566907,,0
54,1.3492846063,,0
55,1.3884803915,,0
56,1.4037057391,,0
57,1.2560964866,,0
58,1.6589306401,,0
59,1.4200166957,0.5386718016,0
60,0.4000000000,-5.0754421730,0
61,-0.8000000000,-6.3888685814,0
62,-1.6000000000,-5.7540405535,1
63,-1.1000000000,-3.9846600825,1
64,0.2000000000,-1.6592340300,0
65,1.4778800194,0.4954255650,0
66,1.5754827557,0.6532019390,0
67,1.4229201784,0.3934735929,0
68,1.6273614852,0.7302204111,0
69,1.5126955043,0.5314174446,0
