# TYPE: validation-run
# Synthetic 70-day VIX/VX1/VX2 tape (index points), seed 68, PCG64.
# Days 0-59 calm contango; 60-64 stress episode; 65-69 recovery.
# Slope = VX2-VX1; inversion rule slope < -1.0 [example];
# z_slope = (slope - mean(trailing 60)) / pstdev(trailing 60) [example],
# unavailable (warm-up) for days 0-58. event_ts/asof_ts int64 ns UTC.
# All numbers synthetic. asof_ts - event_ts = 120000 ns [example].
day,event_ts,asof_ts,vix,vx1,vx2
0,1788960600000000000,1788960600000120000,19.7410419752,20.7831376957,22.2124689931
1,1789047000000000000,1789047000000120000,17.5172464403,18.5786535079,20.0768938970
2,1789133400000000000,1789133400000120000,17.5483712152,18.1517617554,19.5001752244
3,1789219800000000000,1789219800000120000,18.5113410236,19.0016817046,20.3820630932
4,1789306200000000000,1789306200000120000,19.2015860656,20.2353855162,21.6403704029
5,1789392600000000000,1789392600000120000,17.4336558518,18.6074034352,19.7891830828
6,1789479000000000000,1789479000000120000,18.1415313327,19.0240761214,20.4072323078
7,1789565400000000000,1789565400000120000,18.6632275808,19.8230688830,21.1641052162
8,1789651800000000000,1789651800000120000,16.8825068173,17.4742691524,18.9117168977
9,1789738200000000000,1789738200000120000,14.7663348541,15.6170549031,16.9429922892
10,1789824600000000000,1789824600000120000,17.6697139539,18.2400422807,19.6455781240
11,1789911000000000000,1789911000000120000,16.9961183240,18.1520546658,19.4629932606
12,1789997400000000000,1789997400000120000,17.3362001226,17.9865817029,19.3435784312
13,1790083800000000000,1790083800000120000,19.5164620186,20.6164342320,21.9018568867
14,1790170200000000000,1790170200000120000,17.5479551044,18.3709150549,19.7265126429
15,1790256600000000000,1790256600000120000,17.9779939102,18.9624674477,20.3677480286
16,1790343000000000000,1790343000000120000,17.1796258267,18.2971717530,19.6068206498
17,1790429400000000000,1790429400000120000,15.4958101881,16.2162425581,17.5671853683
18,1790515800000000000,1790515800000120000,16.5587746625,17.3740489962,18.5335128812
19,1790602200000000000,1790602200000120000,19.5967603808,20.6409993522,21.8962564802
20,1790688600000000000,1790688600000120000,16.2226177439,17.3183937821,18.4568469031
21,1790775000000000000,1790775000000120000,18.2073991472,19.0427911361,20.3982009336
22,1790861400000000000,1790861400000120000,18.7714330314,19.6168590658,20.9519593387
