# TYPE: validation-run
# Expected outputs for S072_tape.csv. Hand-checked per the S072 chapter S4.
# All numbers synthetic.
day,pcr,med5,z,direction
0,1.1052631579,1.1052631579,0.0000000000,0
1,1.4166666667,1.2609649123,0.6744907595,0
2,0.9512195122,1.1052631579,-0.6744907595,0
3,1.7714285714,1.2609649123,1.4794505363,0
4,1.0714285714,1.1052631579,-0.1481470775,0
5,0.9743589744,1.0714285714,-0.5446556746,0
6,1.8421052632,1.0714285714,4.3242523519,1
7,1.1000000000,1.1000000000,0.0000000000,0
8,1.4054054054,1.1000000000,1.6395371081,0
9,1.1219512195,1.1219512195,0.0000000000,0
