# TYPE: validation-run
# Synthetic 10-day put/call volume tape (thousands of contracts, fictional name).
# PCR = Vp/Vc; trailing-5 median; robust z=(PCR-med)/(1.4826*MAD); flag |z|>2.0 [example].
# Contrarian: extreme high PCR -> +1 (fade fear). event_ts/asof_ts int64 ns UTC.
day,event_ts,asof_ts,put_vol,call_vol
0,1788960600000000000,1788960600000120000,420,380
1,1789047000000000000,1789047000000120000,510,360
2,1789133400000000000,1789133400000120000,390,410
3,1789219800000000000,1789219800000120000,620,350
4,1789306200000000000,1789306200000120000,450,420
5,1789392600000000000,1789392600000120000,380,390
6,1789479000000000000,1789479000000120000,700,380
7,1789565400000000000,1789565400000120000,440,400
8,1789651800000000000,1789651800000120000,520,370
9,1789738200000000000,1789738200000120000,460,410
