# TYPE: validation-run
# Expected outputs for S076_tape.csv. Hand-checked per the S076 chapter S4.
# All numbers synthetic.
bar,range,range_ratio,bw,breakout,squeeze
0,0.3000000000,0.0000000000,0.0000000000,0,0
1,0.3000000000,1.0000000000,0.0009987516,0,0
2,0.3000000000,1.0000000000,0.0016305473,0,0
3,0.3000000000,1.0000000000,0.0022321617,0,0
4,0.3000000000,1.0000000000,0.0028227816,0,0
5,0.3000000000,1.0000000000,0.0034079823,0,0
6,0.3000000000,1.0000000000,0.0039900249,0,0
7,0.3000000000,1.0000000000,0.0045700082,0,0
8,2.2000000000,7.3333333333,0.0244618431,1,0
9,0.7000000000,1.3695652174,0.0324862791,0,0
