# TYPE: validation-run
# Synthetic 10-bar 1-min tape. range=H-L; range_ratio=R_t/mean(R prior 10);
# breakout flag ratio>1.75 [example]; BW=4*sigma/MA over 10 closes;
# squeeze flag BW <= 10th pct of history [example, illustrative short window].
# event_ts/asof_ts int64 ns UTC. All numbers synthetic.
bar,event_ts,asof_ts,open,high,low,close
0,1788960600000000000,1788960600000120000,100.0000000000,100.2000000000,99.9000000000,100.1000000000
1,1788960660000000000,1788960660000120000,100.1000000000,100.2500000000,99.9500000000,100.1500000000
2,1788960720000000000,1788960720000120000,100.1500000000,100.3000000000,100.0000000000,100.2000000000
3,1788960780000000000,1788960780000120000,100.2000000000,100.3500000000,100.0500000000,100.2500000000
4,1788960840000000000,1788960840000120000,100.2500000000,100.4000000000,100.1000000000,100.3000000000
5,1788960900000000000,1788960900000120000,100.3000000000,100.4500000000,100.1500000000,100.3500000000
6,1788960960000000000,1788960960000120000,100.3500000000,100.5000000000,100.2000000000,100.4000000000
7,1788961020000000000,1788961020000120000,100.4000000000,100.5500000000,100.2500000000,100.4500000000
8,1788961080000000000,1788961080000120000,100.4500000000,102.5000000000,100.3000000000,102.2000000000
9,1788961140000000000,1788961140000120000,102.2000000000,102.6000000000,101.9000000000,102.4000000000
