# TYPE: validation-run
# Expected outputs for S078; tolerance 1e-9 [default]; all numbers synthetic, seed 78 [example].
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,ret_bp,f_hat_bp,innov_bp,z
0,1788960600000000000,0,0.0,0.0,OK,0.0,0.0,nan,nan,nan,nan
1,1788960660000000000,0,0.0,0.0,OK,0.0,0.0,0.9299567576799903,nan,nan,nan
2,1788960720000000000,0,0.0,0.0,OK,0.2603878921503973,1.3,-1.459970803177809,0.2603878921503973,-1.7203586953282062,-0.3823019322951569
3,1788960780000000000,0,0.0,0.0,OK,0.40879182488978655,1.3,-5.3317036055644484,-0.40879182488978655,-4.922911780674662,-1.0939803957054803
4,1788960840000000000,0,0.0,0.0,OK,1.4928770095580457,1.3,1.7008521310157023,-1.4928770095580457,3.193729140573748,0.7097175867941662
5,1788960900000000000,0,0.0,0.0,OK,0.4762385966843967,1.3,-1.0705026019932848,0.4762385966843967,-1.5467411986776816,-0.3437202663728181
6,1788960960000000000,0,0.0,0.0,OK,0.2997407285581198,1.3,-0.09004750005718161,-0.2997407285581198,0.2096932285009382,0.04659849522243071
7,1788961020000000000,0,0.0,0.0,OK,0.025213300016010853,1.3,3.2311971866607387,-0.025213300016010853,3.2564104866767494,0.7236467748170554
8,1788961080000000000,0,0.0,0.0,OK,0.904735212265007,1.3,12.285019970092483,0.904735212265007,11.380284757827475,2.5289521684061054
9,1788961140000000000,1,0.6879611183251791,0.34398055916258957,OK,3.4398055916258956,1.3,1.2786139841856106,3.4398055916258956,-2.1611916074402853,-0.48026480165339674
10,1788961200000000000,0,0.0,0.0,OK,0.358011915571971,1.3,2.7364836356261986,0.358011915571971,2.3784717200542276,0.5285492711231616
11,1788961260000000000,0,0.0,0.0,OK,0.7662154179753357,1.3,4.772073676333581,0.7662154179753357,4.005858258358245,0.89019072407961
