# TYPE: validation-run
# Synthetic 12-bar AR(1) tape (chapter S4). r in bp; phi=0.28 assumed estimated on a prior 60-bar window [example]; gate |f|>2.5bp [example]. All numbers synthetic, seed 78 [example]. event_ts/asof_ts int64 ns UTC, 1-min spacing.
ev,event_ts,asof_ts,symbol,mid
0,1788960600000000000,1788960600000120000,TEST:XNAS,100.0
1,1788960660000000000,1788960660000120000,TEST:XNAS,100.0093
2,1788960720000000000,1788960720000120000,TEST:XNAS,99.9947
3,1788960780000000000,1788960780000120000,TEST:XNAS,99.9414
4,1788960840000000000,1788960840000120000,TEST:XNAS,99.9584
5,1788960900000000000,1788960900000120000,TEST:XNAS,99.9477
6,1788960960000000000,1788960960000120000,TEST:XNAS,99.9468
7,1788961020000000000,1788961020000120000,TEST:XNAS,99.9791
8,1788961080000000000,1788961080000120000,TEST:XNAS,100.102
9,1788961140000000000,1788961140000120000,TEST:XNAS,100.1148
10,1788961200000000000,1788961200000120000,TEST:XNAS,100.1422
11,1788961260000000000,1788961260000120000,TEST:XNAS,100.19
