# TYPE: validation-run
# Synthetic 12-bar 5-min HMM tape (chapter S4 bars 40..51). True: calm N(+3bp,40bp), vol N(-5bp,120bp), A=[[0.97,0.03],[0.08,0.92]] [example]. Demo filter inits at stationary (0.7273,0.2727) [example]; production uses Baum-Welch. All numbers synthetic, seed 79 [example]. event_ts/asof_ts int64 ns UTC, 5-min spacing.
ev,event_ts,asof_ts,symbol,ret_bp
40,1788960600000000000,1788960600000120000,TEST:XNAS,13.99
41,1788960900000000000,1788960900000120000,TEST:XNAS,16.37
42,1788961200000000000,1788961200000120000,TEST:XNAS,24.15
43,1788961500000000000,1788961500000120000,TEST:XNAS,28.68
44,1788961800000000000,1788961800000120000,TEST:XNAS,218.0
45,1788962100000000000,1788962100000120000,TEST:XNAS,88.77
46,1788962400000000000,1788962400000120000,TEST:XNAS,51.02
47,1788962700000000000,1788962700000120000,TEST:XNAS,-22.0
48,1788963000000000000,1788963000000120000,TEST:XNAS,47.39
49,1788963300000000000,1788963300000120000,TEST:XNAS,-51.16
50,1788963600000000000,1788963600000120000,TEST:XNAS,4.99
51,1788963900000000000,1788963900000120000,TEST:XNAS,74.66
