# TYPE: validation-run
# Expected outputs for S080; tolerance 1e-9 [default]; all numbers synthetic, seed 80 [example].
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,fill_event_ts,A_hat,u,z
1,1000000000000,0,0.0,0.0,OK,1.3888888888888888,1.5,87400000000000,0.5,0.5,0.6944444444444444
2,1000086400000000,0,0.0,0.0,OK,0.798611111111111,1.5,1086486400000000,-0.6985,0.2875,0.3993055555555555
3,1000172800000000,0,0.0,0.0,OK,1.3958333333333333,1.5,1086572800000000,-0.07749999999999999,-0.5025,-0.6979166666666666
4,1000259200000000,0,0.0,0.0,OK,0.7305555555555556,1.5,1086659200000000,-0.936,-0.263,-0.3652777777777778
5,1000345600000000,0,0.0,0.0,OK,2.923611111111111,1.5,1086745600000000,-0.1245,-1.0525,-1.4618055555555556
6,1000432000000000,-1,0.5317708333333333,0.13294270833333333,OK,4.254166666666666,1.5,1086832000000000,1.0215,1.5314999999999999,2.127083333333333
7,1000518400000000,0,0.0,0.0,OK,1.4597222222222226,1.5,1086918400000000,-0.3925,0.5255000000000001,0.7298611111111113
8,1000604800000000,0,0.0,0.0,OK,0.5111111111111111,1.5,1087004800000000,-0.07200000000000001,0.184,0.25555555555555554
9,1000691200000000,0,0.0,0.0,OK,2.35,1.5,1087091200000000,0.02100000000000002,0.846,1.175
10,1000777600000000,0,0.0,0.0,OK,0.47638888888888886,1.5,1087177600000000,0.1195,0.17149999999999999,0.23819444444444443
