# TYPE: validation-run
# Synthetic 10-day PCA panel (chapter S4, seed 80 [example]). Day 1 fixed to verified arithmetic; stated-Sigma m=1 reduction u=(A-B)/2. All numbers synthetic. event_ts/asof_ts int64 ns UTC, daily spacing.
ev,event_ts,asof_ts,A,B
1,1000000000000,1000000001000,1.0,0.0
2,1000086400000000,1000086400001000,-0.411,-0.986
3,1000172800000000,1000172800001000,-0.58,0.425
4,1000259200000000,1000259200001000,-1.199,-0.673
5,1000345600000000,1000345600001000,-1.177,0.928
6,1000432000000000,1000432000001000,2.553,-0.51
7,1000518400000000,1000518400001000,0.133,-0.918
8,1000604800000000,1000604800001000,0.112,-0.256
9,1000691200000000,1000691200001000,0.867,-0.825
10,1000777600000000,1000777600001000,0.291,-0.052
