# TYPE: validation-run
# Synthetic 90-second signed-trade tape (chapter S4, seed 81 [example]). Events 69-80 around the largest |z| burst; intensities are the chapter's stated values. All numbers synthetic. event_ts/asof_ts int64 ns UTC, per-event.
ev,event_ts,asof_ts,side,lam_b,lam_s
69,7290000000,7290001000,-1,8.805,8.78
70,7460000000,7460001000,-1,7.312,7.78
71,7460000000,7460001000,-1,7.5,8.606
72,7470000000,7470001000,-1,7.641,9.363
73,7500000000,7500001000,-1,7.638,9.906
74,7500000000,7500001000,-1,7.885,10.8
75,7520000000,7520001000,1,7.967,11.431
76,7530000000,7530001000,-1,8.749,11.511
77,7550000000,7550001000,1,8.757,12.042
78,7600000000,7600001000,-1,9.075,11.497
79,7730000000,7730001000,-1,7.925,10.373
80,7820000000,7820001000,-1,7.357,10.022
