# TYPE: validation-run
# Gate-path fixture for S082 (seed 82 [example]). Each row isolates one guard:
# invalid input, staleness, halt, auction, confidence boundary, locate veto,
# cooldown, cost-gate veto, full positive emit, F2 bounds, LONG-without-locate.
# All numbers synthetic. event_ts/asof_ts int64 ns UTC. Base scenario:
# acc=0.8, mu_c=0.30 p, mu_w=-0.06 p, spread=0.05 p, fees=0.005 p -> exp_net=0.173 p.
ev,event_ts,asof_ts,acc,mu_c,mu_w,spread,fees,max_p,cstar,locate_ok,market_state,last_emit_ts
11,2000000011000,2000000012000,,0.30,-0.06,0.05,0.005,0.7,1,1,CONTINUOUS_TRADING,0
12,2000000012000,2005000012000,0.8,0.30,-0.06,0.05,0.005,0.7,1,1,CONTINUOUS_TRADING,0
13,2000000013000,2000000014000,0.8,0.30,-0.06,0.05,0.005,0.7,1,1,HALTED,0
14,2000000014000,2000000015000,0.8,0.30,-0.06,0.05,0.005,0.7,1,1,AUCTION,0
15,2000000015000,2000000016000,0.8,0.30,-0.06,0.05,0.005,0.6,1,1,CONTINUOUS_TRADING,0
16,2000000016000,2000000017000,0.8,0.30,-0.06,0.05,0.005,0.7,-1,0,CONTINUOUS_TRADING,0
17,2000000017000,2000000018000,0.8,0.30,-0.06,0.05,0.005,0.7,1,1,CONTINUOUS_TRADING,1970000017000
18,2000000018000,2000000019000,0.6,0.15,-0.06,0.05,0.005,0.7,1,1,CONTINUOUS_TRADING,0
19,2000000019000,2000000020000,0.8,0.30,-0.06,0.05,0.005,0.7,1,1,CONTINUOUS_TRADING,0
20,2000000020000,2000000021000,0.8,0.30,-0.06,0.05,0.005,1.2,1,1,CONTINUOUS_TRADING,0
21,2000000021000,2000000022000,0.8,0.30,-0.06,0.05,0.005,0.7,1,0,CONTINUOUS_TRADING,0
