# TYPE: validation-run
# Expected outputs for S082; tolerance 1e-9 [default]; all numbers synthetic, seed 82 [example].
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,fill_event_ts,net_correct,net_wrong,exp_net,deploy,reason
11,2000000011000,0,0.0,0.0,UNKNOWN,0.0,5.5,2000001011000,nan,nan,nan,0,invalid_or_stale
12,2000000012000,0,0.0,0.0,UNKNOWN,0.0,5.5,2000001012000,nan,nan,nan,0,invalid_or_stale
13,2000000013000,0,0.0,0.0,UNKNOWN,0.0,5.5,2000001013000,nan,nan,nan,0,halt_freeze
14,2000000014000,0,0.0,0.0,DEGRADED,0.0,5.5,2000001014000,nan,nan,nan,0,auction_hold
15,2000000015000,0,0.0,0.0,OK,17.3,5.5,2000001015000,0.245,-0.115,0.17300000000000001,0,below_confidence
16,2000000016000,0,0.0,0.0,OK,17.3,5.5,2000001016000,0.245,-0.115,0.17300000000000001,0,locate_veto
17,2000000017000,0,0.0,0.0,OK,17.3,5.5,2000001017000,0.245,-0.115,0.17300000000000001,0,cooldown
18,2000000018000,0,0.0,0.0,OK,1.099999999999998,5.5,2000001018000,0.09499999999999999,-0.115,0.010999999999999982,0,cost_gate_veto
19,2000000019000,1,0.7,0.175,OK,17.3,5.5,2000001019000,0.245,-0.115,0.17300000000000001,1,emit
20,2000000020000,0,0.0,0.0,UNKNOWN,17.3,5.5,2000001020000,0.245,-0.115,0.17300000000000001,0,max_p_bounds
21,2000000021000,1,0.7,0.175,OK,17.3,5.5,2000001021000,0.245,-0.115,0.17300000000000001,1,emit
