# TYPE: validation-run
# Expected outputs for S083; tolerance 1e-9 [default]; all numbers synthetic, seed 83 [example].
# Rows 16-17: validation rows — corrupt input and HALTED freeze both emit UNKNOWN (F1 / market-state table).
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,tick_id,tick_done,tick_o,tick_h,tick_l,tick_c,vol_id,vol_done,vol_o,vol_h,vol_l,vol_c,imb_id,imb_done,imb_o,imb_h,imb_l,imb_c,theta
1,1788946200000000000,0,0.0,0.0,OK,0.0,0.0,0,0,99.49,99.49,99.49,99.49,0,0,99.49,99.49,99.49,99.49,0,0,99.49,99.49,99.49,99.49,1000.0
2,1788946201000000000,0,0.0,0.0,OK,0.0,0.0,0,0,99.49,99.49,99.34,99.34,0,0,99.49,99.49,99.34,99.34,0,0,99.49,99.49,99.34,99.34,700.0
3,1788946202000000000,0,0.0,0.0,OK,0.0,0.0,0,0,99.49,99.49,99.33,99.33,0,0,99.49,99.49,99.33,99.33,0,0,99.49,99.49,99.33,99.33,-800.0
4,1788946203000000000,0,0.0,0.0,OK,0.0,0.0,0,0,99.49,99.49,99.33,99.46,0,1,99.49,99.49,99.33,99.46,0,0,99.49,99.49,99.33,99.46,0.0
5,1788946204000000000,0,0.0,0.0,OK,0.0,0.0,0,1,99.49,99.49,99.1,99.1,1,0,99.1,99.1,99.1,99.1,0,0,99.49,99.49,99.1,99.1,-300.0
6,1788946205000000000,0,0.0,0.0,OK,0.0,0.0,1,0,99.52,99.52,99.52,99.52,1,0,99.1,99.52,99.1,99.52,0,0,99.49,99.52,99.1,99.52,1200.0
7,1788946206000000000,0,0.0,0.0,OK,0.0,0.0,1,0,99.52,99.59,99.52,99.59,1,0,99.1,99.59,99.1,99.59,0,0,99.49,99.59,99.1,99.59,1400.0
8,1788946207000000000,0,0.0,0.0,OK,0.0,0.0,1,0,99.52,99.59,99.41,99.41,1,0,99.1,99.59,99.1,99.41,0,0,99.49,99.59,99.1,99.41,900.0
9,1788946208000000000,0,0.0,0.0,OK,0.0,0.0,1,0,99.52,99.59,98.87,98.87,1,1,99.1,99.59,98.87,98.87,0,0,99.49,99.59,98.87,98.87,-100.0
10,1788946209000000000,0,0.0,0.0,OK,0.0,0.0,1,1,99.52,99.59,98.64,98.64,2,0,98.64,98.64,98.64,98.64,0,1,99.49,99.59,98.64,98.64,-1600.0
11,1788946210000000000,0,0.0,0.0,OK,0.0,0.0,2,0,98.88,98.88,98.88,98.88,2,0,98.64,98.88,98.64,98.88,1,0,98.88,98.88,98.88,98.88,500.0
12,1788946211000000000,0,0.0,0.0,OK,0.0,0.0,2,0,98.88,99.07,98.88,99.07,2,1,98.64,99.07,98.64,99.07,1,1,98.88,99.07,98.88,99.07,1500.0
13,1788946212000000000,0,0.0,0.0,OK,0.0,0.0,2,0,98.88,99.38,98.88,99.38,3,0,99.38,99.38,99.38,99.38,2,0,99.38,99.38,99.38,99.38,500.0
14,1788946213000000000,0,0.0,0.0,OK,0.0,0.0,2,0,98.88,99.38,98.88,99.2,3,0,99.38,99.38,99.2,99.2,2,0,99.38,99.38,99.2,99.2,300.0
15,1788946214000000000,0,0.0,0.0,OK,0.0,0.0,2,1,98.88,99.47,98.88,99.47,3,0,99.38,99.47,99.2,99.47,2,0,99.38,99.47,99.2,99.47,1100.0
16,1788946215000000000,0,0.0,0.0,UNKNOWN,0.0,0.0,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan
17,1788946216000000000,0,0.0,0.0,UNKNOWN,0.0,0.0,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan
