# TYPE: validation-run
# Synthetic 15-trade tape (chapter S4, seed 83) + 2 validation rows:
#   ev16: corrupt price (NaN) -> F1 invalid-input -> UNKNOWN, state frozen
#   ev17: HALTED market state -> freeze, emit UNKNOWN, discard contributions
# tick N=5, volume V*=3000 shares, imbalance |θ|≥1500; all numbers synthetic [example]
ev,event_ts,price,size,sign,market_state
1,1788946200000000000,99.49,1000,1,CONTINUOUS_TRADING
2,1788946201000000000,99.34,300,-1,CONTINUOUS_TRADING
3,1788946202000000000,99.33,1500,-1,CONTINUOUS_TRADING
4,1788946203000000000,99.46,800,1,CONTINUOUS_TRADING
5,1788946204000000000,99.10,300,-1,CONTINUOUS_TRADING
6,1788946205000000000,99.52,1500,1,CONTINUOUS_TRADING
7,1788946206000000000,99.59,200,1,CONTINUOUS_TRADING
8,1788946207000000000,99.41,500,-1,CONTINUOUS_TRADING
9,1788946208000000000,98.87,1000,-1,CONTINUOUS_TRADING
10,1788946209000000000,98.64,1500,-1,CONTINUOUS_TRADING
11,1788946210000000000,98.88,500,1,CONTINUOUS_TRADING
12,1788946211000000000,99.07,1000,1,CONTINUOUS_TRADING
13,1788946212000000000,99.38,500,1,CONTINUOUS_TRADING
14,1788946213000000000,99.20,200,-1,CONTINUOUS_TRADING
15,1788946214000000000,99.47,800,1,CONTINUOUS_TRADING
16,1788946215000000000,nan,800,1,CONTINUOUS_TRADING
17,1788946216000000000,100.00,100000,1,HALTED
