# TYPE: validation-run
# Expected outputs for S085; tolerance 1e-9 [default]; all numbers synthetic, seed 85 [example].
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,z,is_event,r_s,barrier_status,label,exit_day
1,1788912000000000000,0,0.0,0.0,OK,0.0,0.0,-1.5410695022345506,0,,pre_event,,
2,1788998400000000000,0,0.0,0.0,OK,0.0,0.0,-0.7705347511172753,0,,pre_event,,
3,1789084800000000000,0,0.0,0.0,OK,0.0,0.0,0.0,0,,pre_event,,
4,1789171200000000000,0,0.0,0.0,OK,0.0,0.0,0.7705347511172753,0,,pre_event,,
5,1789257600000000000,0,0.0,0.0,OK,0.0,0.0,1.5410695022345506,0,,pre_event,,
6,1789344000000000000,0,0.0,0.0,OK,0.0,0.0,0.7705347511172753,0,,pre_event,,
7,1789430400000000000,0,0.0,0.0,OK,0.0,0.0,0.0,0,,pre_event,,
8,1789516800000000000,0,0.0,0.0,OK,0.0,0.0,-0.7705347511172753,0,,pre_event,,
9,1789603200000000000,0,0.0,0.0,OK,0.0,0.0,-1.5410695022345506,0,,pre_event,,
10,1789689600000000000,0,0.0,0.0,OK,0.0,0.0,0.0,0,,pre_event,,
11,1789776000000000000,0,0.0,0.0,OK,0.0,0.0,1.5410695022345506,0,,pre_event,,
12,1789862400000000000,0,0.0,0.0,OK,0.0,0.0,0.7705347511172753,0,,pre_event,,
13,1789948800000000000,0,0.0,0.0,OK,0.0,0.0,0.0,0,,pre_event,,
14,1790035200000000000,0,0.0,0.0,OK,0.0,0.0,-0.7705347511172753,0,,pre_event,,
15,1790121600000000000,0,0.0,0.0,OK,0.0,0.0,-1.5410695022345506,1,0.0,entry,,
16,1790208000000000000,0,0.0,0.0,OK,0.0,0.0,-0.7705347511172753,0,1,profit_hit,1,16
17,1790294400000000000,0,0.0,0.0,OK,0.0,0.0,0.0,0,2,decided,1,16
18,1790380800000000000,0,0.0,0.0,OK,0.0,0.0,0.7705347511172753,0,3,decided,1,16
19,1790467200000000000,0,0.0,0.0,OK,0.0,0.0,1.5410695022345506,0,4,decided,1,16
20,1790553600000000000,0,0.0,0.0,OK,0.0,0.0,0.0,0,2,decided,1,16
