# TYPE: validation-run
# Synthetic 20-day spread tape (chapter S4, seed 85): day-15 long-spread event, +1.0/-1.0pt barriers, 5d horizon
ev,event_ts,day,spread
1,1788912000000000000,1,-2
2,1788998400000000000,2,-1
3,1789084800000000000,3,0
4,1789171200000000000,4,1
5,1789257600000000000,5,2
6,1789344000000000000,6,1
7,1789430400000000000,7,0
8,1789516800000000000,8,-1
9,1789603200000000000,9,-2
10,1789689600000000000,10,0
11,1789776000000000000,11,2
12,1789862400000000000,12,1
13,1789948800000000000,13,0
14,1790035200000000000,14,-1
15,1790121600000000000,15,-2
16,1790208000000000000,16,-1
17,1790294400000000000,17,0
18,1790380800000000000,18,1
19,1790467200000000000,19,2
20,1790553600000000000,20,0
