# TYPE: validation-run
# Expected outputs for S086; tolerance 1e-9 [default]; all numbers synthetic, seed 86 [example].
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,p_hat,decision,pnl,cum_pnl,raw_precision,filt_precision
1,1788946200000000000,0,0.19,0.0,OK,-0.0,2.0,0.19,0,-0.0,0.0,0.3333333333333333,1.0
2,1788948000000000000,0,0.35,0.0,OK,-0.0,2.0,0.35,0,-0.0,0.0,0.3333333333333333,1.0
3,1788949800000000000,1,0.94,0.3899999999999999,OK,14.079999999999998,2.0,0.94,1,16.0,16.0,0.3333333333333333,1.0
4,1788951600000000000,-1,0.92,0.37,OK,13.440000000000001,2.0,0.92,1,16.0,32.0,0.3333333333333333,1.0
5,1788953400000000000,0,0.12,0.0,OK,-0.0,2.0,0.12,0,-0.0,32.0,0.3333333333333333,1.0
6,1788955200000000000,1,0.84,0.2899999999999999,OK,10.879999999999999,2.0,0.84,1,16.0,48.0,0.3333333333333333,1.0
7,1788957000000000000,0,0.3,0.0,OK,-0.0,2.0,0.3,0,-0.0,48.0,0.3333333333333333,1.0
8,1788958800000000000,0,0.36,0.0,OK,-0.0,2.0,0.36,0,-0.0,48.0,0.3333333333333333,1.0
9,1788960600000000000,-1,0.7,0.1499999999999999,OK,6.399999999999999,2.0,0.7,1,16.0,64.0,0.3333333333333333,1.0
10,1788962400000000000,0,0.23,0.0,OK,-0.0,2.0,0.23,0,-0.0,64.0,0.3333333333333333,1.0
11,1788964200000000000,0,0.21,0.0,OK,-0.0,2.0,0.21,0,-0.0,64.0,0.3333333333333333,1.0
12,1788966000000000000,0,0.33,0.0,OK,-0.0,2.0,0.33,0,-0.0,64.0,0.3333333333333333,1.0
