# TYPE: validation-run
# Synthetic 12-trade tape (chapter S4, seed 86086): sides, meta features, barrier outcomes, meta probabilities
ev,event_ts,side,rvol_z,sprd_z,barrier,p_hat
1,1788946200000000000,-1,0.39,-1.06,loss,0.19
2,1788948000000000000,-1,-0.98,-0.78,loss,0.35
3,1788949800000000000,1,2.29,0.06,win,0.94
4,1788951600000000000,-1,-0.15,-0.42,win,0.92
5,1788953400000000000,-1,0.72,0.66,loss,0.12
6,1788955200000000000,1,-1.37,0.85,win,0.84
7,1788957000000000000,1,-0.08,1.38,loss,0.3
8,1788958800000000000,1,0.94,-1.48,loss,0.36
9,1788960600000000000,-1,-1.46,0.29,win,0.7
10,1788962400000000000,1,2.06,-0.4,loss,0.23
11,1788964200000000000,1,0.93,0.24,loss,0.21
12,1788966000000000000,-1,0.72,0.62,loss,0.33
