# TYPE: validation-run
# Expected outputs for S087; tolerance 1e-9 [default]; all numbers synthetic, seed 87 [example].
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,ffd,d,L
1,1788912000000000000,0,0.0,0.0,DEGRADED,0.0,0.0,nan,0.4,5
2,1788998400000000000,0,0.0,0.0,DEGRADED,0.0,0.0,nan,0.4,5
3,1789084800000000000,0,0.0,0.0,DEGRADED,0.0,0.0,nan,0.4,5
4,1789171200000000000,0,0.0,0.0,DEGRADED,0.0,0.0,nan,0.4,5
5,1789257600000000000,0,0.0,0.0,OK,0.0,0.0,38.438399999999994,0.4,5
6,1789344000000000000,0,0.0,0.0,OK,0.0,0.0,38.06399999999999,0.4,5
7,1789430400000000000,0,0.0,0.0,OK,0.0,0.0,37.56479999999999,0.4,5
8,1789516800000000000,0,0.0,0.0,OK,0.0,0.0,36.87359999999999,0.4,5
9,1789603200000000000,0,0.0,0.0,OK,0.0,0.0,35.947199999999995,0.4,5
10,1789689600000000000,0,0.0,0.0,OK,0.0,0.0,33.88799999999999,0.4,5
