# TYPE: validation-run
# Expected outputs for S088; tolerance 1e-9 [default]; all numbers synthetic, seed 88 [example].
# Regenerated 2026-09-11: embargo 5 events (>= max horizon 5 days); train 35 / test 15 / removed 10.
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,status,is_train,is_purged,is_embargoed,is_test,train_n,test_n,removed_n
1,1788912000000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
2,1788998400000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
3,1789084800000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
4,1789171200000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
5,1789257600000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
6,1789344000000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
7,1789430400000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
8,1789516800000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
9,1789603200000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
10,1789689600000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
11,1789776000000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
12,1789862400000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
13,1789948800000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
14,1790035200000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
15,1790121600000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
16,1790208000000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
17,1790294400000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
18,1790380800000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
19,1790467200000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
20,1790553600000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
21,1790640000000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
22,1790726400000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
23,1790812800000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
24,1790899200000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
25,1790985600000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
26,1791072000000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
27,1791158400000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
28,1791244800000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
29,1791331200000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
30,1791417600000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
31,1791504000000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
32,1791590400000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
33,1791676800000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
34,1791763200000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
35,1791849600000000000,0,0.0,0.0,OK,0.0,0.0,TRAIN,1,0,0,0,35,15,10
36,1791936000000000000,0,0.0,0.0,OK,0.0,0.0,PURGED,0,1,0,0,35,15,10
37,1792022400000000000,0,0.0,0.0,OK,0.0,0.0,PURGED,0,1,0,0,35,15,10
38,1792108800000000000,0,0.0,0.0,OK,0.0,0.0,PURGED,0,1,0,0,35,15,10
39,1792195200000000000,0,0.0,0.0,OK,0.0,0.0,PURGED,0,1,0,0,35,15,10
40,1792281600000000000,0,0.0,0.0,OK,0.0,0.0,PURGED,0,1,0,0,35,15,10
41,1792368000000000000,0,0.0,0.0,OK,0.0,0.0,EMBARGOED,0,0,1,0,35,15,10
42,1792454400000000000,0,0.0,0.0,OK,0.0,0.0,EMBARGOED,0,0,1,0,35,15,10
43,1792540800000000000,0,0.0,0.0,OK,0.0,0.0,EMBARGOED,0,0,1,0,35,15,10
44,1792627200000000000,0,0.0,0.0,OK,0.0,0.0,EMBARGOED,0,0,1,0,35,15,10
45,1792713600000000000,0,0.0,0.0,OK,0.0,0.0,EMBARGOED,0,0,1,0,35,15,10
46,1792800000000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
47,1792886400000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
48,1792972800000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
49,1793059200000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
50,1793145600000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
51,1793232000000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
52,1793318400000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
53,1793404800000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
54,1793491200000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
55,1793577600000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
56,1793664000000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
57,1793750400000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
58,1793836800000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
59,1793923200000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
60,1794009600000000000,0,0.0,0.0,OK,0.0,0.0,TEST,0,0,0,1,35,15,10
