# TYPE: validation-run
# Synthetic 60-event schedule (chapter S4, seed 88): E_i -> [i,i+5], test fold E41-60, embargo 5 (>= max horizon)
ev,event_ts,t0_day,t1_day
1,1788912000000000000,1,6
2,1788998400000000000,2,7
3,1789084800000000000,3,8
4,1789171200000000000,4,9
5,1789257600000000000,5,10
6,1789344000000000000,6,11
7,1789430400000000000,7,12
8,1789516800000000000,8,13
9,1789603200000000000,9,14
10,1789689600000000000,10,15
11,1789776000000000000,11,16
12,1789862400000000000,12,17
13,1789948800000000000,13,18
14,1790035200000000000,14,19
15,1790121600000000000,15,20
16,1790208000000000000,16,21
17,1790294400000000000,17,22
18,1790380800000000000,18,23
19,1790467200000000000,19,24
20,1790553600000000000,20,25
21,1790640000000000000,21,26
22,1790726400000000000,22,27
23,1790812800000000000,23,28
24,1790899200000000000,24,29
25,1790985600000000000,25,30
26,1791072000000000000,26,31
27,1791158400000000000,27,32
28,1791244800000000000,28,33
29,1791331200000000000,29,34
30,1791417600000000000,30,35
31,1791504000000000000,31,36
32,1791590400000000000,32,37
33,1791676800000000000,33,38
34,1791763200000000000,34,39
35,1791849600000000000,35,40
36,1791936000000000000,36,41
37,1792022400000000000,37,42
38,1792108800000000000,38,43
39,1792195200000000000,39,44
40,1792281600000000000,40,45
41,1792368000000000000,41,46
42,1792454400000000000,42,47
43,1792540800000000000,43,48
44,1792627200000000000,44,49
45,1792713600000000000,45,50
46,1792800000000000000,46,51
47,1792886400000000000,47,52
48,1792972800000000000,48,53
49,1793059200000000000,49,54
50,1793145600000000000,50,55
51,1793232000000000000,51,56
52,1793318400000000000,52,57
53,1793404800000000000,53,58
54,1793491200000000000,54,59
55,1793577600000000000,55,60
56,1793664000000000000,56,61
57,1793750400000000000,57,62
58,1793836800000000000,58,63
59,1793923200000000000,59,64
60,1794009600000000000,60,65
