# TYPE: validation-run
# generated by run() reference in modules/tests/test_S089.py; do not hand-edit
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,r,bid,ask,spread_bps,lambda_a,lambda_b,skew_bps,gate_pass,fill_event_ts
1,1788946200000000000,1,0.276971989590233,0.1384859947951165,OK,129.97704227514362,0.25,100.18000000000001,99.530114788624289,100.82988521137572,129.97704227514362,40.318668727452824,69.187112210468527,18.000000000000682,1,1788946200000000001
2,1788946260000000000,1,0.1384859947951165,0.069242997397558251,OK,129.97704227514362,0.25,100.09,99.440114788624285,100.73988521137572,129.97704227514362,46.146199454645,60.449880822031538,9.0000000000003411,1,1788946260000000001
3,1788946320000000000,0,0,0,OK,129.97704227514362,0.25,100,99.350114788624282,100.64988521137572,129.97704227514362,52.816022733854041,52.816022733854041,0,1,1788946320000000001
4,1788946380000000000,-1,0.1384859947951165,0.069242997397558251,OK,129.97704227514362,0.25,99.909999999999997,99.260114788624279,100.55988521137571,129.97704227514362,60.449880822031538,46.146199454645,-9.0000000000003411,1,1788946380000000001
5,1788946440000000000,-1,0.276971989590233,0.1384859947951165,OK,129.97704227514362,0.25,99.819999999999993,99.170114788624275,100.46988521137571,129.97704227514362,69.187112210468527,40.318668727452824,-18.000000000000682,1,1788946440000000001
6,1788946500000000000,0,0,0,UNKNOWN,0,0.25,nan,nan,nan,nan,nan,nan,0,0,1788946500000000001
7,1788946560000000000,0,0,0,UNKNOWN,0,0.25,nan,nan,nan,nan,nan,nan,0,0,1788946560000000001
8,1788946620000000000,0,0,0,DEGRADED,129.97704227514362,0.25,nan,nan,nan,nan,nan,nan,0,0,1788946620000000001
9,1788946680000000000,0,0,0,DEGRADED,0,0.25,nan,nan,nan,nan,nan,nan,0,0,1788946680000000001
10,1788946710000000000,0,0,0,DEGRADED,0,0.25,nan,nan,nan,nan,nan,nan,0,0,1788946710000000001
11,1788946770000000000,-1,0.069242997397558251,0.034621498698779125,OK,129.97704227514362,0.25,99.954999999999998,99.30511478862428,100.60488521137572,129.97704227514362,56.50417931228791,49.36860054201955,-4.5000000000001705,1,1788946770000000001
12,1788946830000000000,0,0,0,UNKNOWN,0,0.25,nan,nan,nan,nan,nan,nan,0,0,1788946830000000001
13,1788946890000000000,0,0,0,OK,129.97704227514362,0.25,100,99.350114788624282,100.64988521137572,129.97704227514362,52.816022733854041,52.816022733854041,0,1,1788946890000000001
14,1788946950000000000,0,0,0,UNKNOWN,0,0.25,nan,nan,nan,nan,nan,nan,0,0,1788946950000000001
15,1788947010000000000,0,0,0,DEGRADED,129.97704227514362,0.25,nan,nan,nan,nan,nan,nan,0,1,1788947010000000001
