# TYPE: validation-run
# generated by run() reference in modules/tests/test_S090.py; do not hand-edit
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,vr2,h2,vr4,h4,label,gate_pass,fill_event_ts
1,1788946200000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788946200000000001
2,1788946800000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788946800000000001
3,1788947400000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788947400000000001
4,1788948000000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788948000000000001
5,1788948600000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788948600000000001
6,1788949200000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788949200000000001
7,1788949800000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788949800000000001
8,1788950400000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788950400000000001
9,1788951000000000000,0,0.7714285714285714,0.0,OK,0.0,2.0,1.5714285714285714,0.8260383482898466,0.8,0.41951797627815945,mixed,1,1788951000000000001
10,1788951600000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788951600000000001
11,1788952200000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788952200000000001
12,1788952800000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788952800000000001
13,1788953400000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788953400000000001
14,1788954000000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788954000000000001
15,1788954600000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788954600000000001
16,1788955200000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788955200000000001
17,1788955800000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788955800000000001
18,1788956400000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788956400000000001
19,1788957000000000000,1,1.0,0.25,OK,8.0,2.0,1.803299953656165,0.9253196944084211,2.441008841676738,0.8218693801931303,persist,1,1788957000000000001
20,1788957600000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788957600000000001
21,1788958200000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788958200000000001
22,1788958800000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788958800000000001
23,1788959400000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788959400000000001
24,1788960000000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788960000000000001
25,1788960600000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788960600000000001
26,1788961200000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788961200000000001
27,1788961800000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788961800000000001
28,1788962400000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788962400000000001
29,1788963000000000000,0,1.0,0.0,OK,0.0,2.0,0.08816326530612247,-1.2518392658632322,0.07133333333333333,-0.45231994974552403,revert,1,1788963000000000001
30,1788617400000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,revert,0,1788617400000000001
31,1788964200000000000,0,0.0,0.0,UNKNOWN,0.0,2.0,nan,nan,nan,nan,insufficient,0,1788964200000000001
