# TYPE: validation-run
# Chapter S4 hand tape (no RNG): 31 rows.
# rows 1-9 -> mixed window | row 10 r=nan (F1 reset) | rows 11-19 -> persist window
# row 20 r=nan (F1 reset) | rows 21-29 -> revert window | row 30 stale ts, 4d before
# max seen with TTL 3d (F4 freeze) | row 31 r=inf (F1 reset).
ev,event_ts,r
1,1788946200000000000,1
2,1788946800000000000,1
3,1788947400000000000,1
4,1788948000000000000,-1
5,1788948600000000000,-1
6,1788949200000000000,-1
7,1788949800000000000,1
8,1788950400000000000,1
9,1788951000000000000,1
10,1788951600000000000,nan
11,1788952200000000000,1.0
12,1788952800000000000,0.9
13,1788953400000000000,1.1
14,1788954000000000000,1.0
15,1788954600000000000,0.95
16,1788955200000000000,-0.9
17,1788955800000000000,-1.1
18,1788956400000000000,-1.0
19,1788957000000000000,-0.95
20,1788957600000000000,nan
21,1788958200000000000,0.5
22,1788958800000000000,-1.2
23,1788959400000000000,0.7
24,1788960000000000000,-0.9
25,1788960600000000000,1.1
26,1788961200000000000,-0.6
27,1788961800000000000,0.8
28,1788962400000000000,-1.0
29,1788963000000000000,0.9
30,1788617400000000000,0.5
31,1788964200000000000,inf
