# TYPE: validation-run
# generated by run() reference in modules/tests/test_S093.py; do not hand-edit
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,novelty,staleness,leg,gate_pass,fill_event_ts
1,1788946200000000000,-1,0.94,0.47,OK,65.60000000000001,7.25,0.97,0.030000000000000027,ride,1,1788946200000000001
2,1788946260000000000,-1,0.1200000000000001,0.06000000000000005,OK,106.4,7.25,0.56,0.43999999999999995,ride,1,1788946260000000001
3,1788946320000000000,-1,0.040000000000000036,0.020000000000000018,OK,41.2,7.25,0.48,0.52,fade,1,1788946320000000001
4,1788946380000000000,-1,0.09999999999999998,0.04999999999999999,OK,90.0,7.25,0.45,0.55,fade,1,1788946380000000001
5,1788946440000000000,1,0.3400000000000001,0.17000000000000004,OK,85.2,7.25,0.67,0.32999999999999996,ride,1,1788946440000000001
6,1788946500000000000,1,0.8,0.4,OK,143.20000000000002,7.25,0.1,0.9,fade,1,1788946500000000001
7,1788946560000000000,-1,0.8999999999999999,0.44999999999999996,OK,29.6,7.25,0.95,0.050000000000000044,ride,1,1788946560000000001
8,1788946620000000000,-1,0.07999999999999996,0.03999999999999998,OK,45.599999999999994,7.25,0.46,0.54,fade,1,1788946620000000001
9,1788946680000000000,1,0.52,0.26,OK,82.8,7.25,0.76,0.24,ride,1,1788946680000000001
10,1788946740000000000,-1,0.84,0.42,OK,43.2,7.25,0.08,0.92,fade,1,1788946740000000001
11,1788946800000000000,0,0.0,0.0,OK,2.0,7.25,0.4,0.6,fade,0,
12,1788946860000000000,0,0.0,0.0,UNKNOWN,0.0,7.25,nan,nan,none,0,
