# TYPE: validation-run
# Synthetic 10-event novelty tape (chapter S4, seed 93): novelty vs trailing-10 centroid, day-0 move %, next-5-day return %
ev,event_ts,novelty,day0_pct,next5d_pct
1,1788946200000000000,0.97,-1.64,-0.25
2,1788946260000000000,0.56,-2.66,0.62
3,1788946320000000000,0.48,1.03,-0.28
4,1788946380000000000,0.45,2.25,-0.58
5,1788946440000000000,0.67,2.13,-0.40
6,1788946500000000000,0.10,-3.58,1.67
7,1788946560000000000,0.95,-0.74,-0.08
8,1788946620000000000,0.46,1.14,-0.04
9,1788946680000000000,0.76,2.07,-0.20
10,1788946740000000000,0.08,1.08,-0.36
11,1788946800000000000,0.40,0.05,0.02
12,1788946860000000000,NaN,0.50,-0.10
