# TYPE: validation-run
# Synthetic 12-bin morning tape (chapter S4, seed 94094): 20-day time-of-day baseline (k shares), actual volume (k shares), signed block prints (k shares)
bin,event_ts,baseline_k,actual_k,buy_k,sell_k
1,1788940200000000000,120,133,0,0
2,1788940500000000000,90,78,0,0
3,1788940800000000000,70,83,0,0
4,1788941100000000000,60,206,43,0
5,1788941400000000000,55,87,0,0
6,1788941700000000000,50,44,0,0
7,1788942000000000000,48,46,0,0
8,1788942300000000000,50,63,0,0
9,1788942600000000000,55,157,0,30
10,1788942900000000000,65,101,0,0
11,1788943200000000000,80,88,0,0
12,1788943500000000000,100,89,0,0
