# TYPE: validation-run
# generated by run() reference in modules/tests/test_S096.py; do not hand-edit
hour,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,shock_flag,cascade_flag,flip_flag,fade_window,gate_pass,fill_event_ts
45,1788871200000000000,0,0.0,0.0,OK,0.0,21.0,0,0,0,0,0,1788871200000000001
46,1788874800000000000,0,0.0,0.0,OK,0.0,21.0,0,0,0,0,0,1788874800000000001
47,1788878400000000000,0,0.0,0.0,OK,0.0,21.0,0,0,0,0,0,1788878400000000001
48,1788882000000000000,0,0.0,0.0,OK,0.0,21.0,1,0,0,0,0,1788882000000000001
49,1788885600000000000,0,0.0,0.0,OK,0.0,21.0,1,0,0,0,0,1788885600000000001
50,1788889200000000000,0,0.0,0.0,OK,0.0,21.0,1,0,0,0,0,1788889200000000001
51,1788892800000000000,0,0.0,0.0,OK,0.0,21.0,1,1,0,0,0,1788892800000000001
52,1788896400000000000,0,0.0,0.0,OK,0.0,21.0,1,0,0,0,0,1788896400000000001
53,1788900000000000000,1,0.6,0.3,OK,80.0,21.0,0,0,1,1,1,1788900000000000001
54,1788903600000000000,1,0.6,0.3,OK,80.0,21.0,0,0,0,1,1,1788903600000000001
55,1788907200000000000,1,0.6,0.3,OK,80.0,21.0,0,0,1,1,1,1788907200000000001
56,1788910800000000000,1,0.6,0.3,OK,80.0,21.0,0,0,1,1,1,1788910800000000001
