# TYPE: validation-run
# Synthetic 72-hour BTC-perp window (chapter S4, seed 96): cascade designed at hours 50-52; funding flips at hour 53. ALL reported_* fields are censored lower bounds.
hour,event_ts,price,reported_oi_b,reported_funding,reported_liq_long_m,reported_liq_short_m
45,1788871200000000000,100.77,0.963,0.00002,0.02,0.15
46,1788874800000000000,100.82,0.968,0.00033,0.05,0.04
47,1788878400000000000,100.60,0.959,0.00023,0.01,0.10
48,1788882000000000000,100.70,0.953,0.00040,0.32,0.31
49,1788885600000000000,100.86,0.949,0.00060,0.23,0.12
50,1788889200000000000,99.23,0.891,0.00080,2.80,0.24
51,1788892800000000000,99.65,0.920,0.00060,8.50,0.04
52,1788896400000000000,100.35,0.936,0.00020,4.20,0.05
53,1788900000000000000,100.83,0.953,-0.00030,0.33,0.09
54,1788903600000000000,100.66,0.952,-0.00006,0.33,1.90
55,1788907200000000000,100.46,0.956,0.00007,0.06,0.19
56,1788910800000000000,100.34,0.957,-0.00005,0.31,0.00
