# TYPE: validation-run
# generated by run() reference in modules/tests/test_S097.py; do not hand-edit
day,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,z_vol,S,veto,gate_pass,fill_event_ts
1,1788297600000000000,0,0.0,0.0,UNKNOWN,0.0,14.75,nan,nan,0,0,1788297600000000001
2,1788384000000000000,0,0.0,0.0,UNKNOWN,0.0,14.75,nan,nan,0,0,1788384000000000001
3,1788470400000000000,0,0.0,0.0,UNKNOWN,0.0,14.75,nan,nan,0,0,1788470400000000001
4,1788556800000000000,0,0.0,0.0,UNKNOWN,0.0,14.75,nan,nan,0,0,1788556800000000001
5,1788643200000000000,0,0.0,0.0,UNKNOWN,0.0,14.75,nan,nan,0,0,1788643200000000001
6,1788729600000000000,1,1.0,0.5,OK,62.99740910067697,14.75,26.248920458615405,3.1498704550338483,0,1,1788729600000000001
7,1788816000000000000,0,0.0,0.0,OK,0.0,14.75,6.362215440108854,0.40527312353493405,1,0,1788816000000000001
8,1788902400000000000,0,0.0,0.0,OK,0.0,14.75,0.9858454974997249,0.0985845497499725,0,0,1788902400000000001
9,1788988800000000000,0,0.0,0.0,OK,0.0,14.75,-0.2264307231574127,0.013585843389444761,0,0,1788988800000000001
10,1789075200000000000,0,0.0,0.0,OK,0.0,14.75,-1.0541938244525526,0.02108387648905105,0,0,1789075200000000001
