# TYPE: validation-run
# generated by run() reference in modules/tests/test_S099.py; do not hand-edit
week,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,asvi,exposure,gate_pass,fill_event_ts
1,1787174400000000000,0,0.0,0.0,UNKNOWN,0.0,6.0,nan,nan,0,1787174400000000001
2,1787779200000000000,0,0.0,0.0,UNKNOWN,0.0,6.0,nan,nan,0,1787779200000000001
3,1788384000000000000,0,0.0,0.0,UNKNOWN,0.0,6.0,nan,nan,0,1788384000000000001
4,1788988800000000000,0,0.0,0.0,UNKNOWN,0.0,6.0,nan,nan,0,1788988800000000001
5,1789593600000000000,0,0.0,0.0,UNKNOWN,0.0,6.0,nan,nan,0,1789593600000000001
6,1790198400000000000,0,0.0,0.0,UNKNOWN,0.0,6.0,nan,nan,0,1790198400000000001
7,1790797200000000000,0,0.0,0.0,UNKNOWN,0.0,6.0,nan,nan,0,1790797200000000001
8,1791402000000000000,0,0.0,0.0,UNKNOWN,0.0,6.0,nan,nan,0,1791402000000000001
9,1792006800000000000,1,1.0,0.5,OK,140.95543689373375,6.0,1.4095543689373375,2.0,1,1792006800000000001
10,1792611600000000000,1,1.0,0.5,OK,104.56147487159386,6.0,1.0456147487159386,2.0,1,1792611600000000001
