# TYPE: validation-run
# generated by run() reference in modules/tests/test_S100.py; do not hand-edit
ticker,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,sue,tier,gate_pass,fill_event_ts
A,1,1,0.5,0.25,OK,246.0,5.0,2.5,hi+,1,2
B,2,0,0.0,0.0,OK,0.0,5.0,-1.0000000000000009,lo-,0,3
C,3,0,0.0,0.0,OK,0.0,5.0,0.33333333333333515,mid,0,4
D,4,0,0.0,0.0,OK,0.0,5.0,-1.2499999999999993,lo-,0,5
E,5,0,0.0,0.0,OK,0.0,5.0,1.6000000000000014,hi+,0,6
F,6,0,0.0,0.0,OK,0.0,5.0,0.0,mid,0,7
G,7,-1,0.30000000000000004,0.15000000000000002,OK,146.0,5.0,-1.5000000000000002,lo-,1,8
H,8,1,0.33333333333333326,0.16666666666666663,OK,138.0,5.0,1.6666666666666663,hi+,1,9
I,9,-1,0.272727272727273,0.1363636363636365,OK,188.0,5.0,-1.3636363636363649,lo-,1,10
J,10,0,0.0,0.0,OK,0.0,5.0,1.5000000000000013,hi+,0,11
X,11,0,0.0,0.0,UNKNOWN,0.0,5.0,nan,none,0,12
