# TYPE: validation-run — expected intents for T026; cost_call_* from the COST-block callable; lambda_hat/illiq_bps trace the S010/S011 gates
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note,lambda_hat,illiq_bps
0,1789045200000000000,,HOLD,0,,3.4213203435596427,34.2132,2.0,False,OK,flat,0.000025,2.0
1,1789045500000000000,,HOLD,0,,3.4213203435596427,34.2132,2.0,False,OK,flat,0.000025,2.0
2,1789045800000000000,,HOLD,0,,3.4213203435596427,34.2132,2.0,False,OK,flat,0.000025,2.0
3,1789046100000000000,1789046100000000000,BUY,861,,3.4213203435596427,34.2132,13.68528137423857,True,OK,entry,0.000025,2.0
4,1789046400000000000,,HOLD,0,,3.4213203435596427,34.2132,4.0,False,OK,hold,0.000025,2.0
5,1789046700000000000,,HOLD,0,,3.4213203435596427,34.2132,3.0,False,UNKNOWN,lambda-spike-abort,0.00008,2.0
6,1789047000000000000,1789047000000000000,SELL,861,,3.4213203435596427,34.2132,3.0,False,OK,exit,0.000025,2.0
7,1789047300000000000,,HOLD,0,,3.4213203435596427,34.2132,0.05,False,OK,gate-block,0.000025,2.0
8,1789047600000000000,,HOLD,0,,3.4213203435596427,34.2132,4.0,False,UNKNOWN,invalid-input,0.000025,2.0
9,1789047900000000000,,HOLD,0,,3.4213203435596427,34.2132,3.0,False,OFF,kill-trip,0.000025,2.0
10,1789048200000000000,,HOLD,0,,3.4213203435596427,34.2132,3.0,False,OFF,kill-tripped,0.000025,2.0
11,1789048500000000000,,HOLD,0,,3.4213203435596427,34.2132,2.0,False,OFF,kill-tripped,0.000025,2.0
