# TYPE: validation-run — synthetic 12-bar tape for T026; all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,signal_z,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct,lambda_hat,illiq_bps,half_life_s,vol_est
0,1789045200000000000,1789045200000250000,XYZ,99.89,0.75,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.000025,2.0,90,0.02
1,1789045500000000000,1789045500000250000,XYZ,99.88,1.25,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.000025,2.0,90,0.02
2,1789045800000000000,1789045800000250000,XYZ,100.28,2.0,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.000025,2.0,90,0.02
3,1789046100000000000,1789046100000250000,XYZ,100.21,3.0,13.68528137423857,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.000025,2.0,90,0.02
4,1789046400000000000,1789046400000250000,XYZ,100.33,2.25,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.000025,2.0,90,0.02
5,1789046700000000000,1789046700000250000,XYZ,99.95,1.75,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.00008,2.0,90,0.02
6,1789047000000000000,1789047000000250000,XYZ,100.14,0.5,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.000025,2.0,90,0.02
7,1789047300000000000,1789047300000250000,XYZ,99.81,3.25,0.05,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.000025,2.0,90,0.02
8,1789047600000000000,1789047600000250000,XYZ,99.81,2.25,4.0,100000,0.5,2000000,25,normal,HALTED,0.05,0.000025,2.0,90,0.02
9,1789047900000000000,1789047900000250000,XYZ,99.48,3.0,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-1.1,0.000025,2.0,90,0.02
10,1789048200000000000,1789048200000250000,XYZ,99.4,3.0,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.000025,2.0,90,0.02
11,1789048500000000000,1789048500000250000,XYZ,99.32,0.75,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.000025,2.0,90,0.02
