# TYPE: validation-run — synthetic 12-bar tape for T027; all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,signal_z,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct,locate_ok
0,1789045200000000000,1789045200000250000,XYZ,99.7,0.9,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
1,1789045500000000000,1789045500000250000,XYZ,99.72,1.5,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
2,1789045800000000000,1789045800000250000,XYZ,99.77,2.4,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
3,1789046100000000000,1789046100000250000,XYZ,99.44,3.6,122.51370849898476,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
4,1789046400000000000,1789046400000250000,XYZ,99.71,2.7,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
5,1789046700000000000,1789046700000250000,XYZ,99.75,2.1,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
6,1789047000000000000,1789047000000250000,XYZ,99.62,0.5,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
7,1789047300000000000,1789047300000250000,XYZ,99.58,3.9,0.05,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
8,1789047600000000000,1789047600000250000,XYZ,99.47,2.7,4.0,100000,0.5,2000000,25,normal,HALTED,0.05,1
9,1789047900000000000,1789047900000250000,XYZ,99.45,3.6,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-1.1,1
10,1789048200000000000,1789048200000250000,XYZ,99.54,3.6,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
11,1789048500000000000,1789048500000250000,XYZ,100.08,0.9,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1
