# TYPE: validation-run — synthetic 12-bar tape for T028 (60-s bars stand in for the per-event L1 stream [example]); all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,signal_z,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct,adv_share,queue_imb,queue_depth
0,1789045200000000000,1789045200000250000,XYZ,99.98,0.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.45,0.10,10000
1,1789045260000000000,1789045260000250000,XYZ,99.79,1.0,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.45,0.10,10000
2,1789045320000000000,1789045320000250000,XYZ,99.68,1.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.45,0.10,10000
3,1789045380000000000,1789045380000250000,XYZ,100.0,2.4,7.442640687119285,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.30,0.25,10000
4,1789045440000000000,1789045440000250000,XYZ,100.41,1.8,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.30,0.25,10000
5,1789045500000000000,1789045500000250000,XYZ,100.59,1.4,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.30,0.25,10000
6,1789045560000000000,1789045560000250000,XYZ,100.28,0.4,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.30,0.25,10000
7,1789045620000000000,1789045620000250000,XYZ,100.35,2.6,0.05,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.30,0.25,10000
8,1789045680000000000,1789045680000250000,XYZ,100.49,1.8,4.0,100000,0.5,2000000,25,normal,HALTED,0.05,0.30,0.25,10000
9,1789045740000000000,1789045740000250000,XYZ,100.86,2.4,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-1.1,0.30,0.25,10000
10,1789045800000000000,1789045800000250000,XYZ,101.07,2.4,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.30,0.25,10000
11,1789045860000000000,1789045860000250000,XYZ,101.09,0.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0.30,0.25,10000
