# TYPE: validation-run — synthetic 12-bar tape for T030; all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,signal_z,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,vol_estimate_bps,daily_pnl_pct
0,1789045200000000000,1789045200000250000,XYZ,99.94,0.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
1,1789045210000000000,1789045210000250000,XYZ,99.93,1.0,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
2,1789045220000000000,1789045220000250000,XYZ,100.08,1.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
3,1789045230000000000,1789045230000250000,XYZ,99.54,2.4,10.856854249492379,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
4,1789045240000000000,1789045240000250000,XYZ,99.46,1.8,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
5,1789045250000000000,1789045250000250000,XYZ,99.22,1.4,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
6,1789045260000000000,1789045260000250000,XYZ,99.34,0.4,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
7,1789045270000000000,1789045270000250000,XYZ,99.18,2.6,0.05,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
8,1789045280000000000,1789045280000250000,XYZ,99.27,1.8,4.0,100000,0.5,2000000,25,normal,HALTED,12.0,0.05
9,1789045290000000000,1789045290000250000,XYZ,99.1,2.4,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,-1.1
10,1789045300000000000,1789045300000250000,XYZ,99.26,2.4,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
11,1789045310000000000,1789045310000250000,XYZ,99.23,0.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,12.0,0.05
