# TYPE: validation-run — expected intents for T036; cost_call_* from the COST-block callable
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,3.2142135623730947,32.1421,2.0,False,OK,flat
1,1789045260000000000,,HOLD,0,,3.2142135623730947,32.1421,2.0,False,OK,flat
2,1789045320000000000,,HOLD,0,,3.2142135623730947,32.1421,2.0,False,OK,flat
3,1789045380000000000,1789045380000000000,LONG,1001,,3.2142135623730947,32.1421,12.856854249492379,True,OK,entry
4,1789045440000000000,,HOLD,0,,3.2142135623730947,32.1421,4.0,False,OK,hold
5,1789045500000000000,,HOLD,0,,3.2142135623730947,32.1421,3.0,False,OK,hold
6,1789045560000000000,1789045560000000000,BUY,999,,3.2142135623730947,32.1421,3.0,False,OK,exit
7,1789045620000000000,,HOLD,0,,3.2142135623730947,32.1421,0.05,False,OK,cooldown
8,1789045680000000000,,HOLD,0,,3.2142135623730947,32.1421,4.0,False,UNKNOWN,invalid-input
9,1789045740000000000,,HOLD,0,,3.2142135623730947,32.1421,3.0,False,OFF,kill-trip
10,1789045800000000000,,HOLD,0,,3.2142135623730947,32.1421,3.0,False,OFF,kill-tripped
11,1789045860000000000,,HOLD,0,,3.2142135623730947,32.1421,2.0,False,OFF,kill-tripped
