# TYPE: validation-run — synthetic 12-bar tape for T036; all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,signal_z,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct
0,1789045200000000000,1789045200000250000,XYZ,100.09,0.45,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
1,1789045260000000000,1789045260000250000,XYZ,100.12,0.75,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
2,1789045320000000000,1789045320000250000,XYZ,100.15,1.2,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
3,1789045380000000000,1789045380000250000,XYZ,99.9,1.8,12.856854249492379,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
4,1789045440000000000,1789045440000250000,XYZ,99.88,1.35,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
5,1789045500000000000,1789045500000250000,XYZ,100.18,1.05,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
6,1789045560000000000,1789045560000250000,XYZ,100.05,0.25,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
7,1789045620000000000,1789045620000250000,XYZ,99.92,1.95,0.05,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
8,1789045680000000000,1789045680000250000,XYZ,99.58,1.35,4.0,100000,0.5,2000000,25,normal,HALTED,0.05
9,1789045740000000000,1789045740000250000,XYZ,99.56,1.8,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-1.1
10,1789045800000000000,1789045800000250000,XYZ,99.6,1.8,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
11,1789045860000000000,1789045860000250000,XYZ,99.72,0.45,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
