# TYPE: validation-run — synthetic 12-bar tape for T037; dev_bps = signed premium deviation, event = corporate-action flag; all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,dev_bps,signal_z,edge_bps,event,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct
0,1789045200000000000,1789045200000250000,XYZ,99.63,8.0,0.6,2.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
1,1789048800000000000,1789048800000250000,XYZ,99.58,12.0,1.0,2.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
2,1789052400000000000,1789052400000250000,XYZ,99.46,18.0,1.6,2.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
3,1789056000000000000,1789056000000250000,XYZ,99.53,36.0,2.4,35.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
4,1789059600000000000,1789059600000250000,XYZ,99.6,22.0,1.8,4.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
5,1789063200000000000,1789063200000250000,XYZ,99.49,14.0,1.4,3.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
6,1789066800000000000,1789066800000250000,XYZ,99.67,3.0,0.25,3.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
7,1789070400000000000,1789070400000250000,XYZ,100.02,32.0,2.6,0.05,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
8,1789074000000000000,1789074000000250000,XYZ,100.25,20.0,1.8,4.0,0,100000,0.5,2000000,25,normal,HALTED,0.05
9,1789077600000000000,1789077600000250000,XYZ,100.3,40.0,2.4,35.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-1.1
10,1789081200000000000,1789081200000250000,XYZ,100.12,36.0,2.4,35.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
11,1789084800000000000,1789084800000250000,XYZ,100.09,8.0,0.6,2.0,0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
