# TYPE: validation-run — expected intents for T040; cost_call_* from the COST-block callable (book-average borrow: 0.06 bps/day x 5d x 0.5 short-leg fraction); fade mapping: s>0 -> SHORT, s<0 -> BUY
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,3.010660171779821,30.1066,2.0,False,OK,flat
1,1789131600000000000,,HOLD,0,,3.010660171779821,30.1066,2.0,False,OK,flat
2,1789218000000000000,,HOLD,0,,3.010660171779821,30.1066,2.0,False,OK,flat
3,1789304400000000000,1789304400000000000,SHORT,992,,3.010660171779821,30.1066,11.442640687119285,True,OK,entry
4,1789390800000000000,,HOLD,0,,3.010660171779821,30.1066,4.0,False,OK,hold
5,1789477200000000000,,HOLD,0,,3.010660171779821,30.1066,3.0,False,OK,hold
6,1789563600000000000,1789563600000000000,BUY,995,,3.010660171779821,30.1066,3.0,False,OK,exit
7,1789650000000000000,,HOLD,0,,3.010660171779821,30.1066,0.05,False,OK,gate-block
8,1789736400000000000,,HOLD,0,,3.010660171779821,30.1066,4.0,False,UNKNOWN,invalid-input
9,1789822800000000000,,HOLD,0,,3.010660171779821,30.1066,4.0,False,OFF,kill-trip
10,1789909200000000000,,HOLD,0,,3.010660171779821,30.1066,4.0,False,OFF,kill-tripped
11,1789995600000000000,,HOLD,0,,3.010660171779821,30.1066,2.0,False,OFF,kill-tripped
