# TYPE: validation-run — expected intents for T041; cost_call_* from the COST-block callable (all-zero overlay)
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,scale,note
0,1789045200000000000,1789045200000000000,LONG,1500,,0.0,0.0,2.0,True,OK,1.500000,scale-up
1,1789131600000000000,1789131600000000000,LONG,1250,,0.0,0.0,2.0,True,OK,1.250000,scale-down
2,1789218000000000000,1789218000000000000,LONG,938,,0.0,0.0,2.0,True,OK,0.937500,scale-down
3,1789304400000000000,1789304400000000000,LONG,500,,0.0,0.0,2.0,True,OK,0.500000,scale-down
4,1789390800000000000,1789390800000000000,LONG,250,,0.0,0.0,4.0,True,OK,0.250000,scale-down-floor
5,1789477200000000000,1789477200000000000,LONG,273,,0.0,0.0,3.0,True,OK,0.272727,scale-up
6,1789563600000000000,,HOLD,0,,0.0,0.0,3.0,True,OK,0.267857,hold
7,1789650000000000000,1789650000000000000,LONG,2000,,0.0,0.0,0.05,True,OK,2.000000,scale-up-cap
8,1789736400000000000,,HOLD,0,,0.0,0.0,4.0,True,UNKNOWN,2.000000,invalid-input
9,1789822800000000000,,HOLD,0,,0.0,0.0,2.0,True,OFF,2.000000,kill-trip
10,1789909200000000000,,HOLD,0,,0.0,0.0,2.0,True,OFF,2.000000,kill-tripped
11,1789995600000000000,,HOLD,0,,0.0,0.0,2.0,True,OFF,2.000000,kill-tripped
