# TYPE: validation-run — synthetic 12-bar tape for T042; all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,signal_z,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct,is_jump,proxy_ok
0,1789045200000000000,1789045200000250000,XYZ,99.99,0.75,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0,1
1,1789045500000000000,1789045500000250000,XYZ,100.17,1.25,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0,1
2,1789045800000000000,1789045800000250000,XYZ,100.27,2.0,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0,1
3,1789046100000000000,1789046100000250000,XYZ,100.44,3.0,21.071067811865476,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0,1
4,1789046400000000000,1789046400000250000,XYZ,100.64,2.25,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0,1
5,1789046700000000000,1789046700000250000,XYZ,100.8,1.75,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0,1
6,1789047000000000000,1789047000000250000,XYZ,101.11,0.5,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0,1
7,1789047300000000000,1789047300000250000,XYZ,101.42,3.25,0.05,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,1,1
8,1789047600000000000,1789047600000250000,XYZ,101.34,2.25,4.0,100000,0.5,2000000,25,normal,HALTED,0.05,0,1
9,1789047900000000000,1789047900000250000,XYZ,101.3,3.0,5.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-1.1,0,1
10,1789048200000000000,1789048200000250000,XYZ,101.61,3.0,5.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0,1
11,1789048500000000000,1789048500000250000,XYZ,101.69,0.75,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05,0,1
