# TYPE: validation-run — expected tickets for T046; cost_call_* from the COST-block callable; qty in contracts for options legs
bar,event_ts,intent_ts,action,qty,limit,leg,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,,7.414213562373095,0.2601,2.0,False,OK,flat
1,1789131600000000000,,HOLD,0,,,7.414213562373095,0.2671,2.0,False,OK,flat
2,1789218000000000000,,HOLD,0,,,7.414213562373095,0.2525,2.0,False,OK,flat
3,1789304400000000000,1789304400000000000,SHORT,1,,call,7.414213562373095,0.3567,29.65685424949238,True,OK,entry
3,1789304400000000000,1789304400000000000,SHORT,1,,put,7.414213562373095,0.3567,29.65685424949238,True,OK,entry
4,1789390800000000000,,HOLD,0,,,7.414213562373095,0.3359,4.0,False,OK,hold
5,1789477200000000000,,HOLD,0,,,7.414213562373095,0.3133,3.0,False,OK,hold
6,1789563600000000000,1789563600000000000,BUY,1,,call,7.414213562373095,0.1937,3.0,False,OK,exit
6,1789563600000000000,1789563600000000000,BUY,1,,put,7.414213562373095,0.1937,3.0,False,OK,exit
7,1789650000000000000,,HOLD,0,,,7.414213562373095,0.2308,0.05,False,OK,flat
8,1789736400000000000,,HOLD,0,,,7.414213562373095,0.2236,4.0,False,UNKNOWN,invalid-input
9,1789822800000000000,,HOLD,0,,,7.414213562373095,0.216,8.0,False,OFF,kill-trip
10,1789909200000000000,,HOLD,0,,,7.414213562373095,0.2167,8.0,False,OFF,kill-tripped
11,1789995600000000000,,HOLD,0,,,7.414213562373095,0.2165,2.0,False,OFF,kill-tripped
