# TYPE: validation-run — synthetic 12-bar tape for T046; all numbers synthetic [example]; seed 4460
bar,event_ts,asof_ts,symbol,close,straddle_px,implied_move,har_move,event_active,event_passed,informed_flag,move_realized,ts_gate_ok,dte,delta_net,call_px,put_px,edge_bps,adv_pct,adv_contracts,urgency,market_state,daily_pnl_pct
0,1789045200000000000,1789045200000250000,XYZ,50.12,3.5084,0.070,0.060,1,0,0,0.000,1,9,0.00,1.76,1.75,2.0,0.5,200,normal,CONTINUOUS_TRADING,0.05
1,1789131600000000000,1789131600000250000,XYZ,50.04,3.6029,0.072,0.061,1,0,0,0.000,1,8,0.00,1.81,1.79,2.0,0.5,200,normal,CONTINUOUS_TRADING,0.05
2,1789218000000000000,1789218000000250000,XYZ,50.08,3.4054,0.068,0.059,1,0,0,0.000,1,7,0.00,1.71,1.70,2.0,0.5,200,normal,CONTINUOUS_TRADING,0.05
3,1789304400000000000,1789304400000250000,XYZ,50.12,4.8115,0.096,0.058,1,0,0,0.000,1,6,0.00,2.41,2.40,29.65685424949238,0.5,200,normal,CONTINUOUS_TRADING,0.05
4,1789390800000000000,1789390800000250000,XYZ,50.34,4.5306,0.090,0.058,1,0,0,0.004,1,5,0.00,2.27,2.26,4.0,0.5,200,normal,CONTINUOUS_TRADING,0.05
5,1789477200000000000,1789477200000250000,XYZ,50.30,4.2252,0.084,0.058,1,0,0,0.006,1,5,0.00,2.12,2.11,3.0,0.5,200,normal,CONTINUOUS_TRADING,0.05
6,1789563600000000000,1789563600000250000,XYZ,50.23,2.6120,0.052,0.058,0,1,0,0.002,1,4,0.00,1.31,1.30,3.0,0.5,200,normal,CONTINUOUS_TRADING,0.05
7,1789650000000000000,1789650000000250000,XYZ,50.22,3.1136,0.062,0.055,1,0,0,0.000,1,9,0.00,1.56,1.55,0.05,0.5,200,normal,CONTINUOUS_TRADING,0.05
8,1789736400000000000,1789736400000250000,XYZ,50.27,3.0162,0.060,0.055,1,0,0,0.000,1,9,0.00,1.51,1.51,4.0,0.5,200,normal,HALTED,0.05
9,1789822800000000000,1789822800000250000,XYZ,50.23,2.9133,0.058,0.055,1,0,0,0.000,1,8,0.00,1.46,1.45,8.0,0.5,200,normal,CONTINUOUS_TRADING,-2.1
10,1789909200000000000,1789909200000250000,XYZ,50.39,2.9226,0.058,0.055,1,0,0,0.000,1,7,0.00,1.47,1.45,8.0,0.5,200,normal,CONTINUOUS_TRADING,0.05
11,1789995600000000000,1789995600000250000,XYZ,50.34,2.9197,0.058,0.055,1,0,0,0.000,1,6,0.00,1.46,1.46,2.0,0.5,200,normal,CONTINUOUS_TRADING,0.05
