# TYPE: validation-run — synthetic 12-bar tape for T048; all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,signal_z,informed,confirm_ok,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct
0,1789045200000000000,1789045200000250000,XYZ,49.84,0.6,0,1,2.0,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
1,1789131600000000000,1789131600000250000,XYZ,49.95,1.0,0,1,2.0,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
2,1789218000000000000,1789218000000250000,XYZ,50.03,1.6,0,1,2.0,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
3,1789304400000000000,1789304400000250000,XYZ,49.87,2.4,0,1,15.442640687119283,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
4,1789390800000000000,1789390800000250000,XYZ,49.76,1.8,0,1,4.0,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
5,1789477200000000000,1789477200000250000,XYZ,49.70,1.4,0,1,3.0,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
6,1789563600000000000,1789563600000250000,XYZ,49.77,0.25,0,1,3.0,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
7,1789650000000000000,1789650000000250000,XYZ,49.46,2.6,0,1,0.05,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
8,1789736400000000000,1789736400000250000,XYZ,49.41,1.8,0,1,4.0,200000,0.5,2000000,25,normal,HALTED,0.05
9,1789822800000000000,1789822800000250000,XYZ,49.34,2.4,0,1,5.0,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-2.1
10,1789909200000000000,1789909200000250000,XYZ,49.30,2.4,0,1,5.0,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
11,1789995600000000000,1789995600000250000,XYZ,49.27,0.6,0,1,2.0,200000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
