# TYPE: validation-run — synthetic 12-bar tape for T049; all numbers synthetic [example]; urgency_score/hedged/confirm_ok drive the entry rule
bar,event_ts,asof_ts,symbol,close,signal_z,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,urgency_score,hedged,confirm_ok,market_state,daily_pnl_pct
0,1789045200000000000,1789045200000250000,XYZ,100.08,0.9,2.0,200000,0.5,2000000,25,normal,0.40,0,1,CONTINUOUS_TRADING,0.05
1,1789045800000000000,1789045800000250000,XYZ,100.54,1.5,2.0,200000,0.5,2000000,25,normal,0.55,0,1,CONTINUOUS_TRADING,0.05
2,1789046400000000000,1789046400000250000,XYZ,100.43,2.4,2.0,200000,0.5,2000000,25,normal,0.62,0,1,CONTINUOUS_TRADING,0.05
3,1789047000000000000,1789047000000250000,XYZ,100.75,3.6,14.271067811865475,200000,0.5,2000000,25,normal,0.85,0,1,CONTINUOUS_TRADING,0.05
4,1789047600000000000,1789047600000250000,XYZ,100.77,2.7,4.0,200000,0.5,2000000,25,normal,0.80,0,1,CONTINUOUS_TRADING,0.05
5,1789048200000000000,1789048200000250000,XYZ,100.66,2.1,3.0,200000,0.5,2000000,25,normal,0.66,0,1,CONTINUOUS_TRADING,0.05
6,1789048800000000000,1789048800000250000,XYZ,100.64,0.5,3.0,200000,0.5,2000000,25,normal,0.30,0,1,CONTINUOUS_TRADING,0.05
7,1789049400000000000,1789049400000250000,XYZ,100.12,3.9,0.05,200000,0.5,2000000,25,normal,0.92,0,1,CONTINUOUS_TRADING,0.05
8,1789050000000000000,1789050000000250000,XYZ,99.87,2.7,4.0,200000,0.5,2000000,25,normal,0.88,0,1,HALTED,0.05
9,1789050600000000000,1789050600000250000,XYZ,99.85,3.6,4.0,200000,0.5,2000000,25,normal,0.90,0,1,CONTINUOUS_TRADING,-2.1
10,1789051200000000000,1789051200000250000,XYZ,99.72,3.6,4.0,200000,0.5,2000000,25,normal,0.83,0,1,CONTINUOUS_TRADING,0.05
11,1789051800000000000,1789051800000250000,XYZ,99.5,0.9,2.0,200000,0.5,2000000,25,normal,0.45,0,1,CONTINUOUS_TRADING,0.05
