# TYPE: validation-run — synthetic 12-bar tape for T050; all numbers synthetic [example]; seed 4500
bar,event_ts,asof_ts,symbol,close,dist_bps,days_to_expiry,gex_stable,spot_above_pin,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct
0,1789045200000000000,1789045200000250000,XYZ,99.58,20.0,3,1,1,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
1,1789048800000000000,1789048800000250000,XYZ,99.53,25.0,3,1,1,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
2,1789052400000000000,1789052400000250000,XYZ,99.49,28.0,2,1,1,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
3,1789056000000000000,1789056000000250000,XYZ,99.55,42.0,2,1,0,12.856854249492379,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
4,1789059600000000000,1789059600000250000,XYZ,99.45,38.0,2,1,0,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
5,1789063200000000000,1789063200000250000,XYZ,99.31,30.0,1,1,0,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
6,1789066800000000000,1789066800000250000,XYZ,99.23,3.0,1,1,0,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
7,1789070400000000000,1789070400000250000,XYZ,98.91,45.0,1,1,1,0.05,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
8,1789074000000000000,1789074000000250000,XYZ,98.55,50.0,1,1,1,4.0,100000,0.5,2000000,25,normal,HALTED,0.05
9,1789077600000000000,1789077600000250000,XYZ,98.61,55.0,1,1,1,5.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-2.1
10,1789081200000000000,1789081200000250000,XYZ,98.68,60.0,1,1,1,5.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
11,1789084800000000000,1789084800000250000,XYZ,98.82,25.0,1,1,1,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
