# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,novelty,macro,story_age_s,stop_dist
1788874200000000000,AAA,250.0,250.003,249.997,250.0,96806,0.0538,0,0.0,0,0.0,0.15
1788874201000000000,AAA,250.0,250.0044,249.997,250.0014,90261,0.0241,0,0.0,0,0.0,0.15
1788874202000000000,AAA,250.0014,250.0054,249.9984,250.0024,104030,-0.0283,0,0.0,0,0.0,0.15
1788874203000000000,AAA,250.0024,250.0054,249.9991,250.0021,100025,0.0789,0,0.0,0,0.0,0.15
1788874204000000000,AAA,250.0021,250.0069,249.9991,250.0039,94636,-0.0399,0,0.0,0,0.0,0.15
1788874205000000000,AAA,250.0039,250.063,250.0009,250.06,98104,0.72,1,0.85,0,0.0,0.15
1788874206000000000,AAA,250.06,250.063,250.0446,250.0476,106897,0.0361,0,0.0,0,0.0,0.15
1788874207000000000,AAA,250.0476,250.0506,250.0333,250.0363,106366,-0.0334,0,0.0,0,0.0,0.15
1788874208000000000,AAA,250.0363,250.0393,250.0218,250.0248,98769,-0.006,0,0.0,0,0.0,0.15
1788874209000000000,AAA,250.0248,250.0278,250.0088,250.0118,98878,-0.0382,0,0.0,0,0.0,0.15
1788874210000000000,AAA,250.0118,250.0148,249.9977,250.0007,104967,0.0738,0,0.0,0,0.0,0.15
1788874211000000000,AAA,250.0007,250.0037,249.9845,249.9875,100132,-0.0152,0,0.0,0,0.0,0.15
1788874212000000000,AAA,249.9875,249.9905,249.973,249.976,99844,-0.0776,0,0.0,0,0.0,0.15
1788874213000000000,AAA,249.976,249.979,249.897,249.9,97682,-0.0591,0,0.0,0,0.0,0.15
1788874214000000000,AAA,249.9,250.0063,249.897,250.0033,102575,-0.053,0,0.0,0,0.0,0.15
1788874215000000000,AAA,250.0033,250.0085,250.0003,250.0055,101933,0.7,1,0.45,0,0.0,0.15
1788874216000000000,AAA,250.0055,250.0085,250.0022,250.0052,101774,-0.0204,0,0.0,0,0.0,0.15
1788874217000000000,AAA,250.0052,250.0082,250.002,250.005,96835,0.0335,0,0.0,0,0.0,0.15
1788874218000000000,AAA,250.005,250.0091,250.002,250.0061,102518,0.7,1,0.9,1,0.0,0.15
1788874219000000000,AAA,250.0061,250.0099,250.0031,250.0069,96692,-0.0172,0,0.0,0,0.0,0.15
1788874220000000000,AAA,250.0069,250.0101,250.0039,250.0071,94102,0.35,1,0.9,0,0.0,0.15
1788874221000000000,AAA,250.0071,250.0102,250.0041,250.0072,93812,0.0405,0,0.0,0,0.0,0.15
1788874222000000000,AAA,250.0072,250.0102,250.0041,250.0071,96798,0.0255,0,0.0,0,0.0,0.15
1788874223000000000,AAA,250.0071,250.0101,250.004,250.007,101575,-0.0749,0,0.0,0,0.0,0.15
1788874224000000000,AAA,250.007,250.01,250.0038,250.0068,100319,0.0698,0,0.0,0,0.0,0.15
1788874225000000000,AAA,250.0068,250.053,250.0038,250.05,94373,-0.75,1,0.9,0,0.0,0.15
1788874226000000000,AAA,250.05,250.073,250.047,250.07,94306,0.0121,0,0.0,0,0.0,0.15
1788874227000000000,AAA,250.07,250.103,250.067,250.1,96221,0.0308,0,0.0,0,0.0,0.15
1788874228000000000,AAA,250.1,250.103,250.077,250.08,98518,0.0025,0,0.0,0,0.0,0.15
1788874229000000000,AAA,250.08,250.113,250.077,250.11,101447,0.0355,0,0.0,0,0.0,0.15
1788874230000000000,AAA,250.11,250.113,250.087,250.09,109789,0.4,1,0.85,0,0.0,0.15
1788874231000000000,AAA,250.09,250.093,250.0049,250.0079,97804,-0.0124,0,0.0,0,0.0,0.15
1788874232000000000,AAA,250.0079,250.011,250.0049,250.008,98193,-0.0782,0,0.0,0,0.0,0.15
1788874233000000000,AAA,250.008,250.011,250.0049,250.0079,102052,0.72,1,0.85,0,0.0,0.15
1788874234000000000,AAA,250.0079,250.0109,250.0048,250.0078,103156,0.045,0,0.0,0,0.0,0.15
1788874235000000000,AAA,250.0078,250.0108,250.0036,250.0066,100509,0.0147,0,0.0,0,0.0,0.15
1788874236000000000,AAA,250.0066,250.0096,250.0022,250.0052,100846,0.0779,0,0.0,0,0.0,0.15
1788874237000000000,AAA,250.0052,250.0089,250.0022,250.0059,106665,-0.0461,0,0.0,0,0.0,0.15
1788874238000000000,AAA,250.0059,250.0097,250.0029,250.0067,97833,0.0511,0,0.0,0,0.0,0.15
1788874239000000000,AAA,250.0067,250.0097,250.0032,250.0062,94515,0.0623,0,0.0,0,0.0,0.15
1788874240000000000,AAA,250.0062,250.0094,250.0032,250.0064,99920,0.0685,0,0.0,0,0.0,0.15
1788874241000000000,AAA,250.0064,250.0095,250.0034,250.0065,102242,0.019,0,0.0,0,0.0,0.15
1788874242000000000,AAA,250.0065,250.073,250.0035,250.07,100190,0.68,1,0.88,0,0.0,0.15
1788874243000000000,AAA,250.07,250.0737,250.067,250.0707,95355,-0.0669,0,0.0,0,0.0,0.15
1788874244000000000,AAA,250.0707,250.0756,250.0677,250.0726,101385,0.0388,0,0.0,0,0.0,0.15
1788874245000000000,AAA,250.0726,250.0756,250.0694,250.0724,101901,0.0517,0,0.0,0,0.0,0.15
1788874246000000000,AAA,250.0724,250.0797,250.0694,250.0767,100019,-0.0568,0,0.0,0,0.0,0.15
1788874247000000000,AAA,250.0767,250.0819,250.0737,250.0789,99961,-0.0675,0,0.0,0,0.0,0.15
1788874248000000000,AAA,250.0789,250.0834,250.0759,250.0804,99359,0.0463,0,0.0,0,0.0,0.15
1788874249000000000,AAA,250.0804,250.0841,250.0774,250.0811,99513,0.0547,0,0.0,0,0.0,0.15
1788874250000000000,AAA,250.0811,250.0863,250.0781,250.0833,95893,0.0041,0,0.0,0,0.0,0.15
1788874251000000000,AAA,250.0833,250.0882,250.0803,250.0852,97669,0.0443,0,0.0,0,0.0,0.15
1788874252000000000,AAA,250.0852,250.0904,250.0822,250.0874,94090,-0.059,0,0.0,0,0.0,0.15
1788874253000000000,AAA,250.0874,250.0919,250.0844,250.0889,86495,0.0106,0,0.0,0,0.0,0.15
1788874254000000000,AAA,250.0889,250.0919,250.0845,250.0875,101840,0.0437,0,0.0,0,0.0,0.15
1788874255000000000,AAA,250.0875,250.0944,250.0845,250.0914,99859,-0.0053,0,0.0,0,0.0,0.15
1788874256000000000,AAA,250.0914,250.0964,250.0884,250.0934,103720,0.0393,0,0.0,0,0.0,0.15
1788874257000000000,AAA,250.0934,250.099,250.0904,250.096,99962,-0.0313,0,0.0,0,0.0,0.15
1788874258000000000,AAA,250.096,250.101,250.093,250.098,107118,-0.0117,0,0.0,0,0.0,0.15
1788874259000000000,AAA,250.098,250.101,250.0948,250.0978,103056,0.0087,0,0.0,0,0.0,0.15
1788874260000000000,AAA,250.0978,250.1029,250.0948,250.0999,109400,-0.0268,0,0.0,0,0.0,0.15
1788874261000000000,AAA,250.0999,250.1041,250.0969,250.1011,97524,-0.0322,0,0.0,0,0.0,0.15
1788874262000000000,AAA,250.1011,250.108,250.0981,250.105,106792,0.0502,0,0.0,0,0.0,0.15
1788874263000000000,AAA,250.105,250.109,250.102,250.106,105409,0.042,0,0.0,0,0.0,0.15
1788874264000000000,AAA,250.106,250.1112,250.103,250.1082,99092,0.0436,0,0.0,0,0.0,0.15
1788874265000000000,AAA,250.1082,250.1112,250.1046,250.1076,102243,0.0543,0,0.0,0,0.0,0.15
1788874266000000000,AAA,250.1076,250.1147,250.1046,250.1117,102427,-0.072,0,0.0,0,0.0,0.15
1788874267000000000,AAA,250.1117,250.1163,250.1087,250.1133,97213,0.0717,0,0.0,0,0.0,0.15
1788874268000000000,AAA,250.1133,250.1181,250.1103,250.1151,93272,0.0551,0,0.0,0,0.0,0.15
1788874269000000000,AAA,250.1151,250.1184,250.1121,250.1154,98787,0.0453,0,0.0,0,0.0,0.15
1788874270000000000,AAA,250.1154,250.1212,250.1124,250.1182,108031,0.0338,0,0.0,0,0.0,0.15
