# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,stop_dist
1788874200000000000,AAA,250.0171,250.2171,249.817,250.0421,100000,0.1,1,1.0
1788876000000000000,AAA,250.0962,250.2963,249.8962,250.1212,107919,0.3,1,1.0
1788877800000000000,AAA,250.0322,250.2323,249.8322,250.0572,115838,0.9,1,1.0
1788879600000000000,AAA,249.9447,250.1447,249.7447,249.9697,123757,1.1,1,1.0
1788881400000000000,AAA,250.0081,250.2081,249.8081,250.0331,131676,0.6,1,1.0
1788883200000000000,AAA,250.0579,250.2579,249.8578,250.0829,139595,0.2,1,1.0
1788885000000000000,AAA,249.9619,250.1618,249.7619,249.9869,147514,-0.1,1,1.0
1788886800000000000,AAA,249.9188,250.1188,249.7189,249.9438,105433,-0.6,1,1.0
1788888600000000000,AAA,250.0095,250.2095,249.8095,250.0345,113352,-0.8,1,1.0
1788890400000000000,AAA,250.0146,250.2146,249.8145,250.0396,121271,-0.4,1,1.0
1788892200000000000,AAA,249.9096,250.1095,249.7097,249.9346,129190,0.0,1,1.0
1788894000000000000,AAA,249.9204,250.1203,249.7204,249.9453,137109,0.6,1,1.0
