# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,pressure,stop_dist,adv_shares
1788874200000000000,AAA,250.0171,250.2171,249.817,250.0421,100000,0.8,1,0.2,2.5,2500000
1788960600000000000,AAA,250.0962,250.2963,249.8962,250.1212,107919,1.5,1,0.5,2.5,2500000
1789047000000000000,AAA,250.0322,250.2323,249.8322,250.0572,115838,2.8,1,1.8,2.5,2500000
1789133400000000000,AAA,249.9447,250.1447,249.7447,249.9697,123757,3.2,1,0.6,2.5,2500000
1789219800000000000,AAA,250.0081,250.2081,249.8081,250.0331,131676,2.6,1,0.9,2.5,2500000
1789306200000000000,AAA,250.0579,250.2579,249.8578,250.0829,139595,1.8,1,0.4,2.5,2500000
1789392600000000000,AAA,249.9619,250.1618,249.7619,249.9869,147514,0.9,1,0.2,2.5,2500000
1789479000000000000,AAA,249.9188,250.1188,249.7189,249.9438,105433,-0.5,1,-0.3,2.5,2500000
1789565400000000000,AAA,250.0095,250.2095,249.8095,250.0345,113352,-2.8,1,-2.0,2.5,2500000
1789651800000000000,AAA,250.0146,250.2146,249.8145,250.0396,121271,-3.2,1,-2.2,2.5,2500000
1789738200000000000,AAA,249.9096,250.1095,249.7097,249.9346,129190,-2.0,1,-0.8,2.5,2500000
1789824600000000000,AAA,249.9204,250.1203,249.7204,249.9453,137109,-0.8,1,-0.2,2.5,2500000
1789911000000000000,AAA,250.0200,250.2200,249.8200,250.0500,145000,2.9,1,0.8,2.5,2500000
