# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,stop_dist,oi_mult,liq_dist
1788825600000000000,BTC-PERP,60004.0925,60052.0958,59956.0892,60010.0929,100000,0.8,1,1800.0,1.6,0.45
1788829200000000000,BTC-PERP,60023.0975,60071.1159,59975.079,60029.0998,107919,1.5,1,1800.0,1.6,0.45
1788832800000000000,BTC-PERP,60007.7366,60055.7428,59959.7304,60013.7373,115838,2.8,1,1800.0,1.6,0.45
1788836400000000000,BTC-PERP,59986.7291,60034.7185,59938.7398,59992.7278,123757,3.2,1,1800.0,1.6,0.45
1788840000000000000,BTC-PERP,60001.9432,60049.9447,59953.9416,60007.9434,131676,2.6,1,1800.0,1.6,0.45
1788843600000000000,BTC-PERP,60013.8843,60061.8954,59965.8732,60019.8857,139595,1.5,1,1800.0,1.6,0.45
1788847200000000000,BTC-PERP,59990.8495,60038.8422,59942.8568,59996.8486,147514,0.5,1,1800.0,1.6,0.45
1788850800000000000,BTC-PERP,59980.5174,60028.5018,59932.533,59986.5154,105433,-0.8,1,1800.0,1.6,0.45
1788854400000000000,BTC-PERP,60002.2828,60050.2847,59954.281,60008.2831,113352,-2.8,1,1800.0,1.6,0.45
1788858000000000000,BTC-PERP,60003.4938,60051.4966,59955.491,60009.4942,121271,-3.2,1,1800.0,1.6,0.45
1788861600000000000,BTC-PERP,59978.3032,60026.2858,59930.3206,59984.301,129190,-2.0,1,1800.0,1.6,0.45
1788865200000000000,BTC-PERP,59980.8853,60028.87,59932.9006,59986.8834,137109,-0.5,1,1800.0,1.6,0.45
1788868800000000000,BTC-PERP,60012.4412,60060.4412,59964.4412,60018.4412,144028,2.9,1,1800.0,1.2,0.45
